id,thumb,link,name,localthumb
1iyGY4pGFJRRsezROnxe8SxXRks5f4g4U,https://lh3.googleusercontent.com/jxnLCAyam0Ko4C_EikA_rmVIdi0W5CNJVRjR3yNN0koQWiWs6SNr3EWxHtlbC-90cdvoXuRRXo8=s220,https://drive.google.com/file/d/1iyGY4pGFJRRsezROnxe8SxXRks5f4g4U/view?usp=drivesdk,May 2020 JAFL_Video_Song_Descriptions.docx,images/drive/storytelling/May 2020 JAFL_Video_Song_Descriptions.docx.png
1-5HTjmyyDyowCjWEwQDa6EUoZe88YGyO,https://lh3.googleusercontent.com/dIqIKJ2_PHu8mUw5_lJCRELMxdYykxv-FV-FPNR260yYub_zcyUFKTPT_VxVitmnNkJNT9WzhSM=s220,https://drive.google.com/file/d/1-5HTjmyyDyowCjWEwQDa6EUoZe88YGyO/view?usp=drivesdk,may2020kgonepageguidance.pdf,images/drive/storytelling/may2020kgonepageguidance.pdf.png
1ETQCoPXfrU3R8Z8o0rN5BjALGlElMiQxu-dkgKhwgak,https://docs.google.com/feeds/vt?gd=true&id=1ETQCoPXfrU3R8Z8o0rN5BjALGlElMiQxu-dkgKhwgak&v=12&s=AMedNnoAAAAAXqx5O3zWkLfdPq3VHxIEioubfjv4WgX-&sz=s220,https://docs.google.com/document/d/1ETQCoPXfrU3R8Z8o0rN5BjALGlElMiQxu-dkgKhwgak/edit?usp=drivesdk,JA editorial campaigns_2020,images/drive/storytelling/JA editorial campaigns_2020.png
1-dsLslRHG2A3-7K_k0ZchJGcHMf0wZV2,https://lh3.googleusercontent.com/xPuHv55piP1Tg3BmT0-dHyJmkXJM0ji1xM35Kdd4PGD_PjjLvQIx9Ow8R-CZypCy7dMU5N8RiyM=s220,https://drive.google.com/file/d/1-dsLslRHG2A3-7K_k0ZchJGcHMf0wZV2/view?usp=drivesdk,kgstyleguide.pdf,images/drive/storytelling/kgstyleguide.pdf.png
