src,caption,href
./images/maximize-your-living-space.jpg,7 Tips to Maximize Your Living Space,7-tips-to-maximize-your-living-space.html
./images/how-to-add-marsala-home.png,How To Add Marsala to Your Home,how-to-add-marsala-to-your-home.html
./images/is-cash-out-refinancing-right.jpg,Is Cash-Out Refinancing Right For You?,is-cash-out-refinancing-right-for-you.html
./images/pack-like-a-pro.jpg,Pack Like a Pro With These Simple Steps,pack-like-a-pro-with-these-simple-steps.html
./images/tips-for-shopping-mortgage.jpg,Tips for Shopping Mortgage Lenders,tips-for-shopping-mortgage-lenders.html
./images/lunch-a-love-story.jpg,Lunch: A Love Story,lunch-a-love-story.html
