src,caption,href
./images/copy-layout-charity-magazine.png,Copy & Layout<br>Charity Golf Magazine,./assets/marketing/Charity Magazine.pdf
./images/millenial-targeted-website.png,Content &amp; Brand Messaging<br>Millenial-Targeted Real Estate Website,./assets/marketing/Millenial Website.pdf
./images/direct-mailer-brand-letter.jpg,Direct Mailer Brand Letters<br>Property &amp; Home Services,./assets/marketing/Direct Mailer.pdf
