src,caption,href
./images/white-van-real-estate.jpg,White Van Real Estate Services Receives 2015 &ldquo;Best of Houzz&rdquo; Award,./assets/press/1.pdf
./images/serving-the-underserved-initiative.jpg,"&ldquo;Serving the Underserved&rdquo; Initiative Reaches 10,000 Borrowers",./assets/press/2.pdf
./images/proceeds-from-partnership-wounded-veterans.jpg,Proceeds from Partnership Houses Wounded Military Veterans,./assets/press/3.pdf
