src,caption,href
./images/fitbeast-google-play.png,Available on Google Play,<br>Expanding to Apple Store 2016,https://play.google.com/store/apps/details?id=io.fitbeast.android.app.FitbeastApplication
./images/fitbeast-second-place.png,,
./images/fitbeast-magestic-beasts.png,,
./images/fitbeast-website.png,,https://fitbeast.io
./images/fitbeast-blog.png,,https://blog.fitbeast.io
